N,P,K,temperature,humidity,ph,rainfall,season,crop
20.78,37.85,28.24,29.98,39.1,6.73,42.95,2,Moth Beans
90.75,44.44,22.92,29.26,64.5,7.5,95.0,2,Cotton
24.12,48.35,24.93,29.99,53.02,7.33,54.38,2,Moth Beans
116.7,80.57,55.99,27.07,80.25,6.29,112.11,0,Banana
74.13,15.75,41.27,26.2,91.16,5.75,84.64,2,Watermelon
24.94,48.95,23.91,29.82,63.76,6.44,83.65,2,Black Gram
22.1,8.25,13.87,28.08,61.43,6.66,106.95,2,Orange
42.97,59.35,34.12,20.66,40.77,6.25,79.85,1,Chickpea
28.61,47.83,21.51,27.05,57.63,5.89,79.76,2,Mung Beans
74.13,40.07,42.69,26.17,86.63,6.67,178.78,0,Jute
18.5,28.33,30.23,23.51,63.42,6.4,60.16,2,Pomegranate
87.07,41.05,40.33,24.29,77.58,6.52,126.07,2,Jute
104.83,20.19,34.17,22.57,73.43,5.91,122.75,2,Coffee
108.46,36.28,17.75,26.1,74.09,6.13,96.86,2,Cotton
24.09,54.9,35.19,16.87,54.04,6.22,62.34,1,Lentil
47.17,75.25,52.83,23.67,67.06,6.13,81.67,2,Papaya
75.25,46.41,43.96,31.19,81.69,6.0,213.74,0,Rice
29.8,64.65,32.66,26.5,53.51,6.29,80.38,2,Chickpea
130.0,40.84,25.36,30.23,69.62,5.99,88.15,2,Cotton
92.17,19.31,29.79,25.53,92.39,6.39,154.74,0,Coffee
112.84,21.83,44.42,24.18,58.88,6.75,99.4,2,Muskmelon
112.01,12.46,46.63,27.12,83.38,6.59,113.47,0,Watermelon
24.83,62.81,20.14,19.47,61.8,7.39,85.96,2,Kidney Beans
39.98,66.41,35.93,18.04,53.95,5.87,72.31,1,Chickpea
79.33,83.91,48.78,28.55,80.85,6.29,131.34,0,Banana
43.49,69.52,44.94,26.53,72.29,5.84,97.25,2,Papaya
108.38,81.39,37.27,32.88,77.35,6.69,122.55,0,Banana
37.59,74.11,32.45,19.98,58.78,6.41,60.9,1,Chickpea
77.79,51.57,40.19,26.43,97.32,6.55,144.74,0,Jute
104.36,63.75,53.0,29.49,81.29,6.52,120.3,0,Banana
85.14,15.24,50.77,28.23,83.17,6.11,97.64,2,Watermelon
17.92,52.28,22.45,27.22,53.09,7.18,94.19,2,Black Gram
26.87,145,205,19.02,65.64,4.65,120.71,2,Apple
101.54,76.76,47.57,30.18,91.36,6.01,105.95,0,Banana
22.59,47.68,15.79,26.74,63.15,7.06,80.49,2,Black Gram
112.72,81.73,51.27,27.34,90.92,6.92,105.76,0,Banana
23.12,124.85,205,17.56,52.49,5.96,93.19,1,Apple
29.82,60.86,32.26,26.26,56.63,6.69,139.95,2,Pigeon Peas
114.71,21.95,27.88,24.97,93.65,6.57,135.07,2,Coffee
84.05,12.98,50.21,27.85,84.36,6.19,83.32,2,Muskmelon
18.37,58.45,26.59,30.47,59.35,7.03,90.23,2,Black Gram
91.63,21.66,30.24,21.38,85.02,5.93,168.32,2,Coffee
99.48,16.59,44.94,23.11,59.64,5.54,84.95,2,Watermelon
37.23,34.72,35.72,27.73,61.41,6.71,90.7,2,Mango
18.81,35.61,29.26,28.98,54.49,6.89,62.97,2,Grapes
25.89,56.46,19.58,28.25,76.16,6.19,67.48,2,Mung Beans
106.97,15.42,55.8,24.44,69.33,5.93,111.78,2,Muskmelon
118.5,38.35,22.63,27.76,68.27,7.03,98.6,2,Cotton
37.37,70.75,36.86,23.5,54.97,5.74,67.11,2,Chickpea
20.93,29.31,32.92,26.73,67.55,6.69,54.47,2,Grapes
84.66,44.95,34.49,21.55,81.47,6.59,158.73,2,Jute
11.41,19.74,17.26,23.97,79.1,7.11,88.87,2,Orange
32.47,21.52,18.46,24.62,88.71,6.41,101.37,2,Orange
101.41,12.99,49.63,27.3,71.27,6.64,109.0,0,Watermelon
23.03,50.6,22.63,30.46,54.75,6.79,74.39,2,Moth Beans
63.28,63.12,59.97,24.15,73.19,6.16,108.07,2,Papaya
19.11,33.65,31.79,24.95,66.93,6.54,86.43,2,Grapes
22.71,54.57,24.71,27.45,71.72,6.57,134.47,0,Pigeon Peas
19.22,62.38,17.95,16.62,66.38,5.87,113.72,2,Kidney Beans
20.18,18.91,35.72,27.83,86.79,6.18,190.23,0,Coconut
94.15,55.04,41.85,26.22,90.52,6.66,142.02,0,Jute
89.01,36.1,24.07,31.5,68.72,6.44,93.33,2,Cotton
95.83,24.42,52.53,28.05,71.56,5.5,95.21,2,Muskmelon
16.39,124.67,192.22,17.02,55.32,5.96,82.09,1,Apple
92.17,6.83,51.82,22.71,82.7,5.85,117.33,2,Watermelon
83.57,50.74,38.02,28.97,75.63,7.07,218.97,0,Rice
30.19,18.26,29.53,28.19,83.6,6.22,182.66,0,Coconut
54.43,65.05,54.63,27.17,71.18,5.61,90.42,2,Papaya
27.39,61.52,25.03,27.37,41.65,6.59,97.24,2,Pigeon Peas
22.3,21.93,33.47,24.37,35.73,7.22,67.62,2,Pomegranate
89.22,52.68,42.43,29.84,91.98,6.46,157.31,0,Rice
23.76,44.65,28.24,20.14,52.47,6.93,59.85,1,Lentil
16.59,87.74,18.36,21.07,63.5,6.37,85.08,2,Kidney Beans
60.4,44.33,37.1,24.72,59.94,6.8,93.77,2,Maize
76.79,43.83,40.56,28.51,90.14,6.8,203.32,0,Rice
11.56,132.86,170.95,17.15,60.72,5.82,106.06,2,Apple
24.55,136.17,185.19,19.96,48.8,6.18,105.68,1,Apple
95.27,38.2,40.09,27.71,90.52,6.06,186.68,0,Jute
27.5,52.38,25.43,24.98,64.04,7.08,81.04,2,Mung Beans
86.88,44.03,20.18,26.49,57.35,5.58,75.74,2,Cotton
22.29,29.5,34.67,22.01,63.76,6.21,56.59,2,Grapes
117.6,46.05,21.24,25.94,59.24,6.37,94.6,2,Cotton
35.98,57.11,24.23,26.31,64.56,6.03,121.78,2,Pigeon Peas
42.95,75.31,42.55,23.67,82.48,6.02,101.46,2,Papaya
104.59,73.84,50.28,33.12,87.6,6.13,132.82,0,Banana
17.9,12.09,15.72,17.7,62.2,6.85,67.59,2,Orange
84.09,82.55,38.57,29.39,74.28,6.92,110.54,0,Banana
33.49,59.2,21.11,27.28,59.75,6.46,58.19,2,Mung Beans
22.88,45.47,25.58,25.13,42.26,5.71,102.76,2,Pigeon Peas
111.1,66.31,55.94,26.1,78.54,6.98,124.59,0,Banana
21.01,63.55,24.21,29.72,75.12,6.7,67.89,2,Black Gram
13.41,47.28,23.18,32.74,38.89,6.83,56.15,2,Moth Beans
26.03,53.16,27.6,17.32,66.77,6.77,58.94,2,Lentil
132.11,14.34,40.58,27.71,66.67,7.76,73.35,2,Muskmelon
17.06,48.98,25.74,26.19,56.62,6.28,65.24,2,Mung Beans
71.1,44.85,32.57,25.14,71.63,5.84,101.03,0,Maize
24.87,16.7,11.93,27.72,65.65,6.72,99.83,2,Orange
84.55,21.12,62.67,24.68,67.74,6.08,111.67,2,Watermelon
81.42,47.8,45.74,26.87,69.91,6.63,206.89,2,Rice
25.79,34.01,34.7,26.69,68.79,6.65,111.98,2,Mango
29.74,28.89,31.08,29.62,67.99,6.02,81.78,2,Grapes
71.6,48.41,42.11,28.97,81.47,7.14,158.12,0,Jute
71.44,48.62,34.53,28.69,84.93,6.16,259.98,0,Rice
85.9,16.1,52.27,29.33,88.01,7.03,113.28,0,Watermelon
18.51,25.59,25.18,27.53,86.79,5.59,155.13,0,Coconut
27.42,47.11,17.8,27.94,67.01,6.85,84.37,2,Mung Beans
86.71,50.7,42.94,28.42,88.02,5.7,146.38,0,Jute
71.39,13.7,50.5,30.9,79.44,5.96,89.07,2,Watermelon
23.94,59.28,25.63,27.74,60.84,5.83,138.07,2,Pigeon Peas
99.43,16.65,38.72,25.81,71.1,5.16,88.07,2,Watermelon
21.45,31.72,30.04,26.48,75.64,6.74,86.25,2,Grapes
24.65,27.67,24.28,24.07,52.01,6.47,79.98,2,Mango
20.86,11.56,13.24,21.92,77.17,6.63,116.7,2,Orange
32.53,41.81,30.64,27.74,69.33,6.9,91.53,2,Mung Beans
18.86,21.96,22.8,24.74,92.9,7.01,123.87,2,Coconut
19.68,59.03,18.03,30.22,68.43,6.26,70.65,2,Mung Beans
79.68,44.99,37.6,25.73,68.64,7.09,102.47,2,Maize
57.31,46.58,36.49,28.24,78.74,7.12,157.3,0,Rice
79.16,10.24,49.54,28.33,80.04,6.58,120.93,0,Watermelon
23.61,80.78,20.2,18.35,72.19,6.02,101.48,2,Kidney Beans
133.29,41.05,21.72,27.04,75.01,6.5,84.97,2,Cotton
117.8,89.72,44.29,25.23,93.94,6.3,100.62,0,Banana
15.15,72.74,17.23,17.36,56.95,6.05,118.98,1,Kidney Beans
25.02,22.44,28.28,28.92,64.22,6.05,105.27,2,Mango
18.06,145,201.97,18.42,62.81,5.54,85.76,2,Apple
104.24,43.33,23.12,22.4,62.14,7.03,84.6,2,Cotton
17.35,11.83,10.2,20.71,63.48,6.6,116.52,2,Orange
16.81,16.96,11.65,19.59,78.99,6.47,93.89,2,Orange
25.31,52.73,24.63,29.6,58.76,6.68,98.47,2,Mung Beans
27.67,145,171.71,16.7,55.32,5.2,122.2,1,Apple
127.33,44.56,17.29,26.41,67.25,6.69,89.39,2,Cotton
14.3,45.26,25.63,28.5,62.65,6.69,69.36,2,Mung Beans
123.24,43.86,22.31,25.16,58.5,6.58,82.84,2,Cotton
25.57,52.1,28.18,24.71,51.23,6.69,71.4,2,Black Gram
21.42,41.1,24.71,30.29,46.66,7.0,60.22,2,Moth Beans
37.23,57.22,43.03,31.15,79.38,6.29,118.69,0,Papaya
83.89,34.08,21.13,29.41,68.99,6.56,91.79,2,Cotton
9.8,25.75,39.53,22.28,64.8,6.98,58.79,2,Grapes
19.49,50.43,22.35,27.33,56.24,6.49,60.85,2,Moth Beans
22.51,21.05,31.17,26.21,55.73,7.31,71.19,2,Pomegranate
22.41,19.84,38.77,25.78,50.43,6.2,84.55,2,Pomegranate
21.11,48.91,23.29,29.13,57.33,7.63,54.03,2,Moth Beans
72.98,44.04,30.75,25.28,66.65,5.13,107.54,2,Maize
133.67,45.45,18.48,23.64,74.3,6.24,70.73,2,Cotton
87.3,13.0,58.26,25.69,64.62,5.85,93.5,2,Muskmelon
16.18,130.99,201.22,20.41,66.8,6.1,107.58,2,Apple
18.34,17.46,19.0,21.94,84.21,6.8,102.99,2,Orange
106.2,24.47,48.54,27.86,65.93,7.49,101.48,2,Muskmelon
29.91,26.12,28.94,27.75,82.34,6.15,201.94,0,Coconut
16.63,56.12,26.36,29.66,58.67,6.03,77.68,2,Mung Beans
29.15,26.63,25.87,26.48,66.07,6.89,83.71,2,Mango
26.46,51.74,25.88,30.01,58.9,6.95,81.99,2,Mung Beans
35.03,56.41,30.85,29.15,72.38,7.38,79.35,2,Mung Beans
92.16,32.91,37.41,23.24,68.99,6.22,125.46,2,Maize
23.64,58.02,21.94,29.4,62.87,5.87,125.59,2,Pigeon Peas
18.72,31.07,37.44,24.92,61.55,5.77,71.01,2,Grapes
90.57,22.66,52.87,28.29,73.8,5.63,100.52,0,Muskmelon
75.42,40.18,34.07,23.39,67.19,5.92,103.66,2,Maize
21.72,15.26,31.52,26.04,71.69,5.44,230.31,0,Coconut
85.67,26.36,34.76,23.97,78.77,5.89,129.06,2,Coffee
35.53,59.94,40.11,23.51,73.24,6.47,61.17,2,Chickpea
23.76,30.95,27.79,28.55,71.25,6.79,83.08,2,Mango
82.54,43.59,36.16,32.39,88.53,6.76,149.94,0,Jute
69.36,39.38,34.36,25.42,62.51,6.67,112.69,2,Maize
19.07,46.35,20.37,31.87,50.41,7.42,68.94,2,Moth Beans
90.69,91.2,52.51,26.13,89.01,6.61,123.52,0,Banana
21.09,55.08,26.54,25.48,60.84,6.28,92.47,2,Black Gram
22.08,135.81,205,19.2,54.41,5.59,101.96,1,Apple
25.0,65.13,30.96,24.84,64.29,6.27,101.11,2,Black Gram
18.92,58.58,18.62,16.83,60.87,6.83,68.53,2,Lentil
77.71,48.73,39.77,26.04,80.11,6.75,171.68,0,Jute
99.83,19.74,44.4,24.86,72.27,5.69,97.95,2,Muskmelon
53.27,40.35,38.2,24.76,91.71,6.81,146.47,2,Jute
45.24,60.33,43.28,30.66,74.57,7.18,113.7,0,Papaya
107.79,53.14,33.28,27.12,85.0,6.85,159.55,0,Rice
22.49,16.98,24.65,20.71,57.47,6.24,66.41,1,Pomegranate
23.24,31.26,32.36,25.34,64.05,7.05,67.69,2,Grapes
16.52,17.67,16.07,20.51,70.26,5.96,114.56,2,Orange
94.26,51.47,38.04,27.82,64.47,5.65,114.74,2,Maize
24.93,62.4,21.71,24.32,57.4,6.33,85.75,2,Pigeon Peas
20.78,28.0,28.15,25.76,47.18,5.8,92.04,2,Mango
140,45.02,23.36,24.99,59.33,6.68,80.38,2,Cotton
29.78,29.24,37.21,30.07,70.08,7.15,81.28,2,Mango
59.82,63.73,40.81,26.98,70.66,6.67,87.48,2,Papaya
31.25,59.41,26.03,25.18,71.07,6.63,92.71,2,Black Gram
88.27,13.12,26.03,24.62,93.65,5.57,148.49,2,Coffee
30.22,27.38,26.64,26.09,63.61,7.41,101.48,2,Mango
126.25,64.6,57.36,25.67,76.56,5.57,111.55,0,Banana
69.65,31.04,31.84,24.79,65.73,6.15,94.09,2,Maize
29.49,48.79,22.64,25.46,59.31,6.12,68.35,2,Mung Beans
82.66,49.2,40.07,27.06,91.44,6.27,179.08,0,Jute
25.12,22.7,10.67,25.14,82.1,6.43,95.0,2,Orange
56.14,56.85,52.63,29.01,71.87,6.66,98.59,2,Papaya
19.16,25.46,41.62,26.72,55.39,6.43,75.63,2,Grapes
29.9,51.17,32.26,29.86,68.86,7.14,70.36,2,Mung Beans
97.13,14.66,49.93,23.04,79.04,6.55,111.64,2,Watermelon
24.07,44.0,27.67,32.99,46.67,7.26,51.27,2,Moth Beans
112.81,17.17,46.23,24.93,59.71,6.73,72.83,2,Muskmelon
22.94,107.21,158.68,16.51,55.91,5.93,98.16,1,Apple
26.42,58.49,24.07,20.01,65.57,6.54,80.13,2,Black Gram
95.37,85.53,56.45,29.78,91.26,6.53,128.15,0,Banana
27.21,50.27,26.11,26.67,61.2,6.64,81.28,2,Black Gram
103.69,14.44,48.6,26.34,85.42,6.66,97.99,2,Watermelon
23.74,52.38,16.04,21.4,61.51,5.75,87.09,2,Kidney Beans
24.45,65.23,17.86,27.37,69.15,6.19,96.52,2,Black Gram
12.32,11.93,22.21,24.98,70.73,6.71,103.02,2,Orange
87.08,17.43,61.03,27.45,69.74,7.23,97.93,2,Muskmelon
25.49,46.06,24.36,26.32,64.21,5.78,82.07,2,Mung Beans
46.82,75.56,40.26,20.46,46.42,7.1,56.31,1,Chickpea
25.75,30.27,34.62,24.92,48.9,6.25,79.27,2,Mango
75.79,39.35,43.29,26.71,84.41,5.64,231.3,0,Rice
69.49,15.79,51.16,24.35,74.26,6.79,102.0,2,Muskmelon
87.74,16.49,51.59,23.6,63.69,7.44,61.37,2,Muskmelon
38.43,77.35,37.99,18.56,60.12,5.94,64.13,2,Chickpea
106.97,84.75,41.41,29.43,70.6,6.3,142.22,0,Banana
17.62,56.81,26.05,27.45,61.06,6.63,75.11,2,Black Gram
30.57,55.78,28.13,31.4,64.42,6.11,103.93,2,Pigeon Peas
121.16,39.98,20.94,28.06,71.66,6.46,80.06,2,Cotton
104.46,39.65,27.24,24.32,59.07,6.33,81.25,2,Cotton
24.94,29.46,29.21,24.15,55.89,5.29,109.85,2,Mango
22.13,23.56,40.18,24.27,62.11,6.15,87.96,2,Pomegranate
85.72,25.11,44.94,29.95,71.29,6.15,90.91,2,Muskmelon
18.26,25.15,34.25,21.78,60.26,6.24,88.08,2,Grapes
59.05,37.39,33.32,25.1,76.88,6.5,96.08,2,Maize
22.57,31.88,31.97,28.5,72.64,6.57,87.1,2,Mango
17.61,20.6,31.62,25.05,44.8,6.88,78.39,2,Pomegranate
99.53,41.89,17.67,29.37,62.87,6.62,95.05,2,Cotton
93.85,28.87,53.83,27.43,69.16,5.87,74.48,2,Muskmelon
87.58,42.66,39.43,29.69,99.98,6.78,137.08,0,Jute
10.41,42.66,32.56,30.96,37.05,7.25,60.8,2,Moth Beans
30.15,58.88,26.92,25.57,68.83,6.77,91.43,2,Black Gram
28.19,59.86,19.12,28.26,45.96,6.43,92.09,2,Pigeon Peas
103.22,16.49,42.69,28.74,51.46,6.72,84.25,2,Muskmelon
81.55,48.74,38.93,28.21,76.56,7.08,185.14,0,Rice
25.86,22.73,41.06,21.5,49.45,6.74,67.49,1,Pomegranate
12.65,18.37,6.33,26.28,67.33,7.15,137.82,2,Orange
91.93,47.63,55.99,27.93,86.34,6.64,193.34,0,Rice
29.08,64.91,23.35,26.3,75.3,7.0,93.47,2,Black Gram
24.68,41.96,16.93,27.29,66.95,5.97,58.55,2,Mung Beans
29.57,31.87,33.6,26.12,71.36,6.34,91.28,2,Mango
68.96,13.57,27.0,26.39,66.43,6.17,143.16,2,Coffee
22.66,50.2,21.94,26.11,69.8,6.25,93.84,2,Black Gram
75.71,38.43,38.41,32.7,93.34,7.12,126.4,0,Jute
86.77,81.04,55.98,22.64,75.51,6.77,101.28,2,Banana
23.25,52.64,26.82,28.09,61.16,6.26,64.34,2,Black Gram
23.28,45.98,28.17,28.86,37.43,7.09,84.2,2,Moth Beans
126.77,20.68,52.42,26.72,70.0,7.06,82.93,2,Muskmelon
19.59,19.91,14.78,23.45,75.36,6.33,115.82,2,Orange
24.02,40.43,21.94,21.0,49.29,6.56,76.76,1,Lentil
21.47,44.13,27.85,25.67,70.58,6.43,127.97,0,Black Gram
83.71,38.3,35.95,28.1,85.52,6.76,185.65,0,Rice
119.45,81.61,57.23,28.29,75.52,5.59,69.73,2,Banana
14.35,65.95,14.28,21.29,62.52,6.35,102.74,2,Kidney Beans
37.48,88.39,28.04,17.95,59.94,7.56,59.58,1,Chickpea
79.16,38.17,39.4,28.13,94.91,6.92,231.02,0,Rice
17.05,27.03,36.31,23.63,52.14,6.61,53.29,2,Pomegranate
25.19,122.4,205,16.39,62.58,5.37,118.17,2,Apple
26.7,49.69,28.4,32.04,65.01,6.74,71.0,2,Mung Beans
23.48,58.92,20.71,21.97,54.41,6.3,69.5,1,Lentil
12.99,31.22,38.8,22.56,74.74,6.87,90.62,2,Grapes
21.31,39.92,27.85,27.77,33.41,7.22,48.36,2,Moth Beans
73.19,47.25,45.73,27.96,83.83,6.58,232.54,0,Rice
24.62,23.34,33.5,26.97,70.94,7.15,86.01,2,Mango
75.94,52.3,44.52,27.57,92.24,6.62,192.01,0,Jute
94.83,45.82,44.46,28.0,74.84,5.86,170.91,0,Rice
103.15,70.45,43.44,29.62,75.57,5.78,89.63,2,Banana
32.32,28.65,30.98,26.94,72.37,6.31,74.28,2,Mango
24.98,23.32,37.07,25.06,48.38,6.37,64.82,2,Pomegranate
108.22,18.58,44.01,25.93,71.69,5.61,100.94,0,Muskmelon
117.74,20.12,54.99,25.03,65.06,6.63,93.75,2,Muskmelon
92.01,21.94,19.89,25.85,83.82,6.52,145.62,0,Coffee
83.82,49.16,32.83,25.42,57.19,6.43,89.89,2,Maize
67.94,38.0,34.3,30.06,86.04,5.8,117.18,0,Jute
72.05,39.57,35.65,26.3,64.3,7.02,79.12,2,Maize
55.79,47.26,53.36,24.45,66.45,6.01,105.56,2,Papaya
28.32,27.01,34.6,23.15,81.28,6.51,79.12,2,Grapes
18.85,145,202.54,16.36,59.49,6.23,104.65,1,Apple
81.16,16.73,50.74,24.25,54.62,5.83,90.89,2,Muskmelon
37.59,53.4,30.31,18.14,53.26,7.08,77.45,1,Chickpea
130.8,18.24,44.68,27.27,70.56,6.15,108.85,0,Watermelon
29.92,22.12,31.91,27.33,78.73,5.59,142.17,0,Coconut
102.94,49.2,21.56,25.27,55.72,6.66,78.18,2,Cotton
94.38,12.29,51.28,26.15,80.22,5.96,100.18,0,Watermelon
29.61,48.36,27.16,27.82,68.49,6.51,78.44,2,Mung Beans
17.1,41.33,24.86,27.45,29.89,6.9,62.28,2,Moth Beans
28.62,56.46,11.59,24.21,67.8,6.08,100.24,2,Mung Beans
26.5,22.53,26.99,27.03,84.23,5.76,145.19,0,Coconut
112.75,54.22,51.06,28.55,76.5,6.69,140.32,0,Banana
24.05,34.6,27.41,24.06,73.84,7.21,43.54,2,Grapes
67.53,43.68,36.88,24.03,78.24,6.3,69.81,2,Maize
83.34,37.69,39.22,28.63,69.32,6.31,110.13,2,Maize
98.1,39.0,15.81,29.27,72.01,7.03,83.96,2,Cotton
54.17,44.51,34.28,27.81,47.92,5.44,91.51,2,Maize
91.65,43.59,39.58,27.15,78.42,5.91,241.4,0,Rice
56.58,68.08,57.18,31.12,89.47,6.49,97.91,2,Papaya
62.21,46.13,30.04,28.02,75.24,6.43,98.5,2,Maize
17.84,72.85,23.56,20.69,68.79,6.01,115.4,2,Kidney Beans
21.27,51.59,35.02,23.32,51.71,7.01,103.24,2,Pigeon Peas
105.37,46.14,21.63,25.69,54.78,6.74,95.31,2,Cotton
38.77,55.15,26.6,20.57,46.25,7.48,94.59,1,Chickpea
14.97,73.85,20.79,14.55,65.16,5.92,110.66,2,Kidney Beans
25.12,12.51,19.27,23.24,83.12,6.61,118.71,2,Orange
11.83,75.66,16.7,23.22,78.34,7.04,97.14,2,Kidney Beans
33.36,60.66,33.34,14.91,58.71,6.36,74.82,1,Chickpea
91.5,21.77,26.97,20.73,76.21,6.0,110.22,2,Coffee
27.42,141.81,199.36,21.08,72.82,5.85,122.43,2,Apple
94.88,47.51,30.61,27.92,91.79,7.46,216.85,0,Rice
25.09,47.7,25.71,16.58,50.74,6.06,54.45,1,Lentil
46.03,70.04,36.66,17.74,47.29,6.46,80.94,1,Chickpea
23.37,17.04,10.98,21.18,77.3,6.72,112.98,2,Orange
100.11,83.79,45.65,28.07,79.96,6.67,111.62,0,Banana
27.48,63.79,14.6,22.17,72.26,5.9,111.58,2,Kidney Beans
25.17,60.7,27.64,27.34,70.61,6.53,92.77,2,Black Gram
93.84,14.11,42.19,27.75,79.46,6.43,105.22,0,Watermelon
26.99,56.33,31.95,19.79,44.57,6.6,67.94,1,Lentil
27.65,36.91,28.27,32.03,54.95,6.38,100.62,2,Mung Beans
35.43,28.17,32.28,29.7,68.79,7.02,92.16,2,Mango
29.85,14.68,12.99,23.05,71.46,5.89,111.54,2,Orange
23.7,14.68,26.83,23.26,85.84,5.93,195.5,2,Coconut
99.49,26.0,40.02,28.7,66.29,6.03,99.92,2,Muskmelon
19.27,41.97,27.01,31.6,60.43,7.33,50.09,2,Moth Beans
106.27,28.37,25.45,26.19,75.55,5.98,126.68,0,Coffee
21.61,67.67,20.35,20.64,56.93,5.63,87.22,1,Kidney Beans
20.44,23.8,28.43,24.16,57.29,7.78,122.71,2,Mango
36.95,44.8,30.27,30.03,60.55,6.44,71.05,2,Mung Beans
114.94,14.92,49.82,26.98,81.5,6.02,129.05,0,Watermelon
22.53,14.54,15.63,25.41,81.78,6.87,100.5,0,Orange
107.88,86.31,50.13,30.5,84.48,6.93,124.67,0,Banana
26.12,9.33,9.79,23.01,70.98,7.08,101.96,2,Orange
112.2,41.82,19.11,26.76,62.89,7.42,104.95,2,Cotton
133.19,77.39,52.03,26.59,76.11,6.13,107.12,0,Banana
27.13,56.05,26.14,31.0,64.23,6.24,82.18,2,Black Gram
61.32,40.28,41.12,27.52,84.29,5.95,179.18,0,Jute
21.75,16.89,32.34,30.28,86.72,5.73,183.58,0,Coconut
121.85,41.85,20.68,27.96,62.53,6.23,79.94,2,Cotton
22.42,24.92,34.38,24.31,70.5,5.82,68.07,2,Grapes
28.4,26.36,32.76,28.73,91.98,5.86,162.85,0,Coconut
34.37,58.67,23.73,26.85,55.3,6.58,85.57,2,Pigeon Peas
24.38,57.64,30.11,21.25,50.85,6.57,45.46,1,Lentil
26.68,56.45,28.28,18.69,57.73,6.33,58.41,1,Lentil
23.76,46.99,20.2,31.19,44.03,6.56,42.1,2,Moth Beans
96.98,22.74,43.67,28.45,60.47,6.9,75.53,2,Muskmelon
26.38,67.52,29.82,13.95,40.93,6.57,59.11,1,Lentil
32.32,14.64,28.26,26.66,79.41,5.6,225.51,0,Coconut
11.57,9.78,15.26,20.62,66.48,5.38,92.2,2,Orange
79.68,34.39,30.39,25.67,72.42,6.26,84.93,2,Maize
68.68,45.38,31.88,28.19,78.59,6.18,117.96,0,Jute
52.94,69.83,48.83,22.5,72.89,6.46,88.72,2,Papaya
27.63,61.76,37.05,26.08,67.29,5.95,113.98,2,Mung Beans
79.95,49.72,33.58,23.52,76.34,5.59,126.83,2,Maize
34.27,63.54,36.95,21.59,52.06,6.26,65.13,1,Chickpea
17.44,19.51,8.83,25.73,67.19,6.52,118.3,2,Orange
18.07,107.59,205,20.94,63.44,6.19,102.59,2,Apple
69.19,11.34,47.76,24.84,69.89,6.49,107.3,2,Watermelon
24.95,44.92,24.14,30.12,64.75,6.7,141.76,2,Pigeon Peas
33.65,60.89,31.81,21.19,62.83,5.79,66.95,2,Chickpea
64.79,48.75,26.75,27.09,81.22,6.66,159.77,0,Jute
92.55,65.41,49.86,27.96,80.84,6.3,125.11,0,Banana
22.19,13.24,23.33,21.09,72.43,6.84,118.86,2,Orange
16.7,32.2,38.55,25.96,68.07,6.31,71.09,2,Grapes
11.65,50.81,23.93,27.16,47.27,7.22,60.77,2,Moth Beans
83.52,51.03,36.73,25.11,77.13,7.1,109.91,0,Maize
92.36,80.35,42.95,31.62,72.06,6.49,84.6,2,Banana
39.41,67.32,28.46,21.89,51.73,6.56,81.71,1,Chickpea
50.64,45.24,33.3,29.84,64.9,6.04,86.34,2,Maize
24.99,34.83,25.9,26.85,38.33,6.94,70.65,2,Moth Beans
16.28,19.64,32.19,28.44,83.0,6.01,218.22,0,Coconut
26.55,27.66,35.52,23.47,55.55,6.64,60.18,2,Grapes
86.89,13.87,53.6,27.84,67.22,6.67,99.04,2,Watermelon
29.75,13.5,19.01,23.91,74.71,6.86,95.49,2,Orange
20.76,46.86,20.85,29.93,42.01,6.95,61.12,2,Moth Beans
17.9,20.98,37.48,24.94,45.47,6.65,66.41,2,Pomegranate
19.99,132.63,172.59,18.96,66.03,6.01,111.95,2,Apple
88.31,46.04,39.68,29.51,93.48,6.47,195.08,0,Jute
52.63,61.91,53.61,24.71,68.7,6.62,95.89,2,Papaya
24.83,49.06,25.09,30.64,56.3,6.21,66.73,2,Moth Beans
28.98,20.7,25.25,26.86,86.76,5.9,177.07,0,Coconut
78.95,45.06,31.77,29.81,86.57,7.01,267.49,0,Rice
17.79,70.59,19.34,19.87,71.07,6.22,77.88,2,Kidney Beans
140,38.16,20.32,26.98,71.11,7.47,103.37,0,Cotton
90.37,40.04,37.17,26.01,94.67,6.82,164.17,0,Jute
25.36,18.35,25.22,30.84,87.33,6.15,214.51,0,Coconut
48.92,54.09,33.84,22.15,57.34,6.46,65.27,2,Chickpea
26.17,52.77,24.32,32.52,42.85,6.86,52.54,2,Moth Beans
23.1,21.06,28.33,27.14,51.73,6.22,61.38,2,Pomegranate
86.44,46.01,36.23,27.28,85.51,6.49,203.71,0,Rice
11.73,35.69,28.64,28.23,62.59,6.22,107.81,2,Mango
17.53,21.04,40.04,30.19,50.02,6.63,59.69,2,Pomegranate
96.61,20.4,32.36,19.37,70.12,6.42,137.82,2,Coffee
22.85,27.1,22.43,30.41,60.04,5.98,78.53,2,Mango
19.88,18.16,31.08,23.96,57.14,6.41,77.92,2,Pomegranate
66.68,52.28,32.59,31.15,73.44,5.78,87.49,2,Maize
76.33,44.46,49.13,27.98,97.69,6.3,210.52,0,Rice
18.53,69.48,23.85,17.73,69.81,6.3,97.74,2,Kidney Beans
64.02,40.8,45.08,25.06,81.44,6.53,170.04,0,Rice
